"","T4.1","T4.10","T4.16","T4.17","T4.6","T4.8","T5.1","T5.10","T5.16","T5.17","T5.6","T5.8","T7.1","T7.10","T7.16","T7.17","T7.6","T7.8","gene","Uniprot","eval","Prot.ID","Rev","Prot.Name.Long","Prot.Name.Short","Taxa","Num","GO1","GO2","GO3","GO4","GO.IDs","KEGG","KEGG.Path"
"27",2117,2583,3876,3530,2196,1958,701,2550,1769,1802,1805,1766,81,101,74,40,125,169,"g32797","Q7KM13",1.43e-26,"HEY_DROME","reviewed","Hairy/enhancer-of-split related with YRPW motif protein","Hey Hesr-1 CG11194","Drosophila melanogaster (Fruit fly)",425,"anterior/posterior pattern specification [GO:0009952]; cell differentiation [GO:0030154]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron fate determination [GO:0048664]; Notch signaling pathway [GO:0007219]; regulation of neurogenesis [GO:0050767]","nucleus [GO:0005634]","nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; protein dimerization activity [GO:0046983]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; anterior/posterior pattern specification [GO:0009952]; cell differentiation [GO:0030154]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron fate determination [GO:0048664]; Notch signaling pathway [GO:0007219]; regulation of neurogenesis [GO:0050767]","DNA binding [GO:0003677]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; protein dimerization activity [GO:0046983]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]","GO:0000122; GO:0000977; GO:0001227; GO:0003677; GO:0005634; GO:0007219; GO:0009952; GO:0030154; GO:0046983; GO:0048664; GO:0050767","K09091;","dme:Dmel_CG11194;"
"28",84,136,130,93,69,70,74,195,348,179,160,163,294,389,442,130,239,199,"g34558","P18293",0,"ANPRA_MOUSE","reviewed","Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A)","Npr1 Npra","Mus musculus (Mouse)",1057,"cell surface receptor signaling pathway [GO:0007166]; cGMP biosynthetic process [GO:0006182]; cGMP-mediated signaling [GO:0019934]; dopamine metabolic process [GO:0042417]; intracellular signal transduction [GO:0035556]; negative regulation of smooth muscle cell proliferation [GO:0048662]; positive regulation of cGMP-mediated signaling [GO:0010753]; receptor guanylyl cyclase signaling pathway [GO:0007168]; signal transduction [GO:0007165]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; guanylate cyclase activity [GO:0004383]; hormone binding [GO:0042562]; natriuretic peptide receptor activity [GO:0016941]; peptide hormone binding [GO:0017046]; peptide receptor activity [GO:0001653]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; cell surface receptor signaling pathway [GO:0007166]; cGMP biosynthetic process [GO:0006182]; cGMP-mediated signaling [GO:0019934]; dopamine metabolic process [GO:0042417]; intracellular signal transduction [GO:0035556]; negative regulation of smooth muscle cell proliferation [GO:0048662]; positive regulation of cGMP-mediated signaling [GO:0010753]; receptor guanylyl cyclase signaling pathway [GO:0007168]; signal transduction [GO:0007165]","ATP binding [GO:0005524]; GTP binding [GO:0005525]; guanylate cyclase activity [GO:0004383]; hormone binding [GO:0042562]; natriuretic peptide receptor activity [GO:0016941]; peptide hormone binding [GO:0017046]; peptide receptor activity [GO:0001653]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]","GO:0001653; GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005886; GO:0006182; GO:0007165; GO:0007166; GO:0007168; GO:0010753; GO:0016021; GO:0016941; GO:0017046; GO:0019901; GO:0019934; GO:0035556; GO:0042417; GO:0042562; GO:0043235; GO:0048662","K12323;","mmu:18160;"
"29",746,664,1313,834,628,810,270,861,1187,425,662,799,332,525,739,191,322,568,"g34594","Q04446",0,"GLGB_HUMAN","reviewed","1,4-alpha-glucan-branching enzyme (EC 2.4.1.18) (Brancher enzyme) (Glycogen-branching enzyme)","GBE1","Homo sapiens (Human)",702,"carbohydrate metabolic process [GO:0005975]; generation of precursor metabolites and energy [GO:0006091]; glycogen biosynthetic process [GO:0005978]; glycogen metabolic process [GO:0005977]","cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]","cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; 1,4-alpha-glucan branching enzyme activity [GO:0003844]; 1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis) [GO:0102752]; cation binding [GO:0043169]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]; generation of precursor metabolites and energy [GO:0006091]; glycogen biosynthetic process [GO:0005978]; glycogen metabolic process [GO:0005977]","1,4-alpha-glucan branching enzyme activity [GO:0003844]; 1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis) [GO:0102752]; cation binding [GO:0043169]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]","GO:0003844; GO:0004553; GO:0005737; GO:0005829; GO:0005975; GO:0005977; GO:0005978; GO:0006091; GO:0043169; GO:0070062; GO:0102752","K00700;","hsa:2632;"
"30",34,66,191,46,27,162,44,73,140,27,26,136,72,211,160,25,16,489,"g34620","O15439",0,"MRP4_HUMAN","reviewed","Multidrug resistance-associated protein 4 (ATP-binding cassette sub-family C member 4) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B)","ABCC4 MRP4","Homo sapiens (Human)",1325,"cilium assembly [GO:0060271]; export across plasma membrane [GO:0140115]; platelet degranulation [GO:0002576]; positive regulation of smooth muscle cell proliferation [GO:0048661]; prostaglandin secretion [GO:0032310]; response to drug [GO:0042493]; response to organic cyclic compound [GO:0014070]; response to organonitrogen compound [GO:0010243]; transmembrane transport [GO:0055085]","apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; external side of apical plasma membrane [GO:0098591]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; platelet dense granule membrane [GO:0031088]","apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; external side of apical plasma membrane [GO:0098591]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; platelet dense granule membrane [GO:0031088]; 15-hydroxyprostaglandin dehydrogenase (NAD+) activity [GO:0016404]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; efflux transmembrane transporter activity [GO:0015562]; ion transmembrane transporter activity, phosphorylative mechanism [GO:0015662]; xenobiotic transmembrane transporter activity [GO:0042910]; cilium assembly [GO:0060271]; export across plasma membrane [GO:0140115]; platelet degranulation [GO:0002576]; positive regulation of smooth muscle cell proliferation [GO:0048661]; prostaglandin secretion [GO:0032310]; response to drug [GO:0042493]; response to organic cyclic compound [GO:0014070]; response to organonitrogen compound [GO:0010243]; transmembrane transport [GO:0055085]","15-hydroxyprostaglandin dehydrogenase (NAD+) activity [GO:0016404]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]; efflux transmembrane transporter activity [GO:0015562]; ion transmembrane transporter activity, phosphorylative mechanism [GO:0015662]; xenobiotic transmembrane transporter activity [GO:0042910]","GO:0002576; GO:0005524; GO:0005886; GO:0010243; GO:0014070; GO:0015562; GO:0015662; GO:0016020; GO:0016021; GO:0016323; GO:0016324; GO:0016404; GO:0016887; GO:0031088; GO:0032310; GO:0042493; GO:0042626; GO:0042910; GO:0048661; GO:0055085; GO:0060271; GO:0098591; GO:0140115","K05673;","hsa:10257;"
"31",432,476,1257,944,452,752,144,945,602,651,591,632,182,191,537,126,128,336,"g34940","A7M9B2",4.47e-07,"TI214_CUSRE","reviewed","Protein TIC 214 (Translocon at the inner envelope membrane of chloroplasts 214) (AtTIC214)","TIC214 ycf1","Cuscuta reflexa (Southern Asian dodder)",1750,"protein transport [GO:0015031]","chloroplast inner membrane [GO:0009706]; integral component of membrane [GO:0016021]","chloroplast inner membrane [GO:0009706]; integral component of membrane [GO:0016021]; protein transport [GO:0015031]","","GO:0009706; GO:0015031; GO:0016021","",""
"32",696,820,1258,886,679,788,445,953,926,711,847,794,436,456,743,243,482,506,"g35960","O43399",1.49e-20,"TPD54_HUMAN","reviewed","Tumor protein D54 (hD54) (Tumor protein D52-like 2)","TPD52L2","Homo sapiens (Human)",206,"regulation of cell population proliferation [GO:0042127]","cytoplasm [GO:0005737]; perinuclear region of cytoplasm [GO:0048471]","cytoplasm [GO:0005737]; perinuclear region of cytoplasm [GO:0048471]; catalytic activity [GO:0003824]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; regulation of cell population proliferation [GO:0042127]","catalytic activity [GO:0003824]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]","GO:0003723; GO:0003824; GO:0005737; GO:0042127; GO:0042803; GO:0048471","","hsa:7165;"
"33",55,15,84,32,15,16,72,31,48,59,78,28,422,180,444,155,77,79,"g37889","P9WMV9",4.74e-21,"CHOD_MYCTU","reviewed","Cholesterol oxidase (EC 1.1.3.6) (Cholesterol isomerase) (EC 5.3.3.1)","choD Rv3409c","Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)",578,"cholesterol metabolic process [GO:0008203]; pathogenesis [GO:0009405]; steroid biosynthetic process [GO:0006694]","","cholesterol oxidase activity [GO:0016995]; steroid delta-isomerase activity [GO:0004769]; cholesterol metabolic process [GO:0008203]; pathogenesis [GO:0009405]; steroid biosynthetic process [GO:0006694]","cholesterol oxidase activity [GO:0016995]; steroid delta-isomerase activity [GO:0004769]","GO:0004769; GO:0006694; GO:0008203; GO:0009405; GO:0016995","K03333;","mtu:Rv3409c;mtv:RVBD_3409c;"
"34",47,86,58,74,57,26,139,151,91,153,149,108,415,148,170,53,220,175,"g38587","Q6RI86",1.4e-87,"TRPA1_RAT","reviewed","Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Wasabi receptor)","Trpa1 Anktm1","Rattus norvegicus (Rat)",1125,"calcium ion transmembrane import into cytosol [GO:0097553]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; cell surface receptor signaling pathway [GO:0007166]; cellular response to caffeine [GO:0071313]; cellular response to carbon dioxide [GO:0071244]; cellular response to cold [GO:0070417]; cellular response to heat [GO:0034605]; detection of chemical stimulus involved in sensory perception of pain [GO:0050968]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; positive regulation of anion transport [GO:1903793]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of sensory perception of pain [GO:1904058]; protein homotetramerization [GO:0051289]; regulation of blood circulation [GO:1903522]; regulation of neuronal action potential [GO:0098908]; response to cold [GO:0009409]; response to drug [GO:0042493]; response to hydrogen peroxide [GO:0042542]; response to organic cyclic compound [GO:0014070]; response to organic substance [GO:0010033]; response to pain [GO:0048265]; sensory perception of pain [GO:0019233]; thermoception [GO:0050955]; urinary bladder smooth muscle contraction [GO:0014832]","apical plasma membrane [GO:0016324]; axon [GO:0030424]; cell [GO:0005623]; integral component of plasma membrane [GO:0005887]; stereocilium bundle [GO:0032421]","apical plasma membrane [GO:0016324]; axon [GO:0030424]; cell [GO:0005623]; integral component of plasma membrane [GO:0005887]; stereocilium bundle [GO:0032421]; calcium channel activity [GO:0005262]; calcium-release channel activity [GO:0015278]; channel activity [GO:0015267]; identical protein binding [GO:0042802]; ion channel activity [GO:0005216]; osmolarity-sensing cation channel activity [GO:1990760]; temperature-gated cation channel activity [GO:0097604]; voltage-gated calcium channel activity [GO:0005245]; calcium ion transmembrane import into cytosol [GO:0097553]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; cell surface receptor signaling pathway [GO:0007166]; cellular response to caffeine [GO:0071313]; cellular response to carbon dioxide [GO:0071244]; cellular response to cold [GO:0070417]; cellular response to heat [GO:0034605]; detection of chemical stimulus involved in sensory perception of pain [GO:0050968]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; positive regulation of anion transport [GO:1903793]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of sensory perception of pain [GO:1904058]; protein homotetramerization [GO:0051289]; regulation of blood circulation [GO:1903522]; regulation of neuronal action potential [GO:0098908]; response to cold [GO:0009409]; response to drug [GO:0042493]; response to hydrogen peroxide [GO:0042542]; response to organic cyclic compound [GO:0014070]; response to organic substance [GO:0010033]; response to pain [GO:0048265]; sensory perception of pain [GO:0019233]; thermoception [GO:0050955]; urinary bladder smooth muscle contraction [GO:0014832]","calcium channel activity [GO:0005262]; calcium-release channel activity [GO:0015278]; channel activity [GO:0015267]; identical protein binding [GO:0042802]; ion channel activity [GO:0005216]; osmolarity-sensing cation channel activity [GO:1990760]; temperature-gated cation channel activity [GO:0097604]; voltage-gated calcium channel activity [GO:0005245]","GO:0005216; GO:0005245; GO:0005262; GO:0005623; GO:0005887; GO:0006816; GO:0007166; GO:0009409; GO:0010033; GO:0014070; GO:0014832; GO:0015267; GO:0015278; GO:0016324; GO:0019233; GO:0030424; GO:0032421; GO:0034605; GO:0035774; GO:0042493; GO:0042542; GO:0042802; GO:0048265; GO:0050955; GO:0050966; GO:0050968; GO:0051289; GO:0070417; GO:0070588; GO:0071244; GO:0071313; GO:0097553; GO:0097604; GO:0098908; GO:1903522; GO:1903793; GO:1904058; GO:1990760","K04984;","rno:312896;"
"35",3265,1786,4497,4764,3867,3736,870,1647,1630,1367,1766,1516,311,235,609,335,462,376,"g38586","Q16526",1.59e-120,"CRY1_HUMAN","reviewed","Cryptochrome-1","CRY1 PHLL1","Homo sapiens (Human)",586,"blue light signaling pathway [GO:0009785]; circadian regulation of gene expression [GO:0032922]; circadian rhythm [GO:0007623]; DNA damage induced protein phosphorylation [GO:0006975]; entrainment of circadian clock by photoperiod [GO:0043153]; gluconeogenesis [GO:0006094]; glucose homeostasis [GO:0042593]; lipid storage [GO:0019915]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of glucocorticoid receptor signaling pathway [GO:2000323]; negative regulation of glucocorticoid secretion [GO:2000850]; negative regulation of gluconeogenesis [GO:0045721]; negative regulation of G protein-coupled receptor signaling pathway [GO:0045744]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of protein ubiquitination [GO:0031398]; protein-chromophore linkage [GO:0018298]; regulation of circadian rhythm [GO:0042752]; regulation of DNA damage checkpoint [GO:2000001]; response to activity [GO:0014823]; response to glucagon [GO:0033762]; response to insulin [GO:0032868]; response to light stimulus [GO:0009416]","mitochondrion [GO:0005739]; nucleus [GO:0005634]","mitochondrion [GO:0005739]; nucleus [GO:0005634]; blue light photoreceptor activity [GO:0009882]; DNA binding [GO:0003677]; double-stranded DNA binding [GO:0003690]; E-box binding [GO:0070888]; histone deacetylase binding [GO:0042826]; nuclear hormone receptor binding [GO:0035257]; nucleotide binding [GO:0000166]; phosphatase binding [GO:0019902]; protein kinase binding [GO:0019901]; blue light signaling pathway [GO:0009785]; circadian regulation of gene expression [GO:0032922]; circadian rhythm [GO:0007623]; DNA damage induced protein phosphorylation [GO:0006975]; entrainment of circadian clock by photoperiod [GO:0043153]; gluconeogenesis [GO:0006094]; glucose homeostasis [GO:0042593]; lipid storage [GO:0019915]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of G protein-coupled receptor signaling pathway [GO:0045744]; negative regulation of glucocorticoid receptor signaling pathway [GO:2000323]; negative regulation of glucocorticoid secretion [GO:2000850]; negative regulation of gluconeogenesis [GO:0045721]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of protein ubiquitination [GO:0031398]; protein-chromophore linkage [GO:0018298]; regulation of circadian rhythm [GO:0042752]; regulation of DNA damage checkpoint [GO:2000001]; response to activity [GO:0014823]; response to glucagon [GO:0033762]; response to insulin [GO:0032868]; response to light stimulus [GO:0009416]","blue light photoreceptor activity [GO:0009882]; DNA binding [GO:0003677]; double-stranded DNA binding [GO:0003690]; E-box binding [GO:0070888]; histone deacetylase binding [GO:0042826]; nuclear hormone receptor binding [GO:0035257]; nucleotide binding [GO:0000166]; phosphatase binding [GO:0019902]; protein kinase binding [GO:0019901]","GO:0000122; GO:0000166; GO:0003677; GO:0003690; GO:0005634; GO:0005739; GO:0006094; GO:0006975; GO:0007623; GO:0009416; GO:0009785; GO:0009882; GO:0014823; GO:0018298; GO:0019901; GO:0019902; GO:0019915; GO:0031397; GO:0031398; GO:0032868; GO:0032922; GO:0033762; GO:0035257; GO:0042593; GO:0042752; GO:0042754; GO:0042826; GO:0043153; GO:0045721; GO:0045744; GO:0045892; GO:0070888; GO:2000001; GO:2000323; GO:2000850","K02295;","hsa:1407;"
"36",34,49,91,75,42,57,23,62,108,30,38,59,13,93,109,7,36,81,"g38718","Q9H0Y0",2.6e-36,"ATG10_HUMAN","reviewed","Ubiquitin-like-conjugating enzyme ATG10 (EC 2.3.2.-) (Autophagy-related protein 10) (APG10-like)","ATG10 APG10L PP12616","Homo sapiens (Human)",220,"autophagy [GO:0006914]; ER overload response [GO:0006983]; macroautophagy [GO:0016236]; positive regulation of protein modification process [GO:0031401]; protein lipidation [GO:0006497]; protein modification by small protein conjugation [GO:0032446]; protein transport [GO:0015031]","cytosol [GO:0005829]; intracellular [GO:0005622]","cytosol [GO:0005829]; intracellular [GO:0005622]; Atg12 transferase activity [GO:0019777]; autophagy [GO:0006914]; ER overload response [GO:0006983]; macroautophagy [GO:0016236]; positive regulation of protein modification process [GO:0031401]; protein lipidation [GO:0006497]; protein modification by small protein conjugation [GO:0032446]; protein transport [GO:0015031]","Atg12 transferase activity [GO:0019777]","GO:0005622; GO:0005829; GO:0006497; GO:0006914; GO:0006983; GO:0015031; GO:0016236; GO:0019777; GO:0031401; GO:0032446","K17888;","hsa:83734;"
"37",564,817,1373,1356,693,633,1048,1819,1820,1575,1710,1478,1446,1220,1556,571,1115,1087,"g39438","Q2EJA0",1.24e-59,"YAP1_RAT","reviewed","Transcriptional coactivator YAP1 (Yes-associated protein 1) (Protein yorkie homolog) (Yes-associated protein YAP65 homolog)","Yap1 Yap Yap65","Rattus norvegicus (Rat)",469,"bud elongation involved in lung branching [GO:0060449]; cardiac muscle tissue regeneration [GO:0061026]; cell morphogenesis [GO:0000902]; cell population proliferation [GO:0008283]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to gamma radiation [GO:0071480]; cellular response to retinoic acid [GO:0071300]; contact inhibition [GO:0060242]; DNA damage induced protein phosphorylation [GO:0006975]; embryonic heart tube morphogenesis [GO:0003143]; heart process [GO:0003015]; hippo signaling [GO:0035329]; keratinocyte differentiation [GO:0030216]; lateral mesoderm development [GO:0048368]; lung epithelial cell differentiation [GO:0060487]; negative regulation of epithelial cell apoptotic process [GO:1904036]; negative regulation of epithelial cell differentiation [GO:0030857]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of gene expression [GO:0010629]; negative regulation of stem cell differentiation [GO:2000737]; notochord development [GO:0030903]; paraxial mesoderm development [GO:0048339]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cardiac muscle cell proliferation [GO:0060045]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of intracellular estrogen receptor signaling pathway [GO:0033148]; positive regulation of organ growth [GO:0046622]; positive regulation of stem cell population maintenance [GO:1902459]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; progesterone receptor signaling pathway [GO:0050847]; protein-containing complex assembly [GO:0065003]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of cell population proliferation [GO:0042127]; regulation of gene expression [GO:0010468]; regulation of keratinocyte proliferation [GO:0010837]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]; regulation of neurogenesis [GO:0050767]; regulation of stem cell proliferation [GO:0072091]; response to progesterone [GO:0032570]; somatic stem cell population maintenance [GO:0035019]; tissue homeostasis [GO:0001894]; vasculogenesis [GO:0001570]","cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; TEAD-1-YAP complex [GO:0071148]; TEAD-2-YAP complex [GO:0071149]; transcription factor complex [GO:0005667]","cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; TEAD-1-YAP complex [GO:0071148]; TEAD-2-YAP complex [GO:0071149]; transcription factor complex [GO:0005667]; activating transcription factor binding [GO:0033613]; chromatin binding [GO:0003682]; proline-rich region binding [GO:0070064]; protein C-terminus binding [GO:0008022]; protein heterodimerization activity [GO:0046982]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]; bud elongation involved in lung branching [GO:0060449]; cardiac muscle tissue regeneration [GO:0061026]; cell morphogenesis [GO:0000902]; cell population proliferation [GO:0008283]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to gamma radiation [GO:0071480]; cellular response to retinoic acid [GO:0071300]; contact inhibition [GO:0060242]; DNA damage induced protein phosphorylation [GO:0006975]; embryonic heart tube morphogenesis [GO:0003143]; heart process [GO:0003015]; hippo signaling [GO:0035329]; keratinocyte differentiation [GO:0030216]; lateral mesoderm development [GO:0048368]; lung epithelial cell differentiation [GO:0060487]; negative regulation of epithelial cell apoptotic process [GO:1904036]; negative regulation of epithelial cell differentiation [GO:0030857]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of gene expression [GO:0010629]; negative regulation of stem cell differentiation [GO:2000737]; notochord development [GO:0030903]; paraxial mesoderm development [GO:0048339]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cardiac muscle cell proliferation [GO:0060045]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of intracellular estrogen receptor signaling pathway [GO:0033148]; positive regulation of organ growth [GO:0046622]; positive regulation of stem cell population maintenance [GO:1902459]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; progesterone receptor signaling pathway [GO:0050847]; protein-containing complex assembly [GO:0065003]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of cell population proliferation [GO:0042127]; regulation of gene expression [GO:0010468]; regulation of keratinocyte proliferation [GO:0010837]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]; regulation of neurogenesis [GO:0050767]; regulation of stem cell proliferation [GO:0072091]; response to progesterone [GO:0032570]; somatic stem cell population maintenance [GO:0035019]; tissue homeostasis [GO:0001894]; vasculogenesis [GO:0001570]","activating transcription factor binding [GO:0033613]; chromatin binding [GO:0003682]; proline-rich region binding [GO:0070064]; protein C-terminus binding [GO:0008022]; protein heterodimerization activity [GO:0046982]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]","GO:0000902; GO:0000978; GO:0001570; GO:0001894; GO:0003015; GO:0003143; GO:0003682; GO:0003713; GO:0003714; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0005829; GO:0006974; GO:0006975; GO:0008022; GO:0008134; GO:0008283; GO:0008284; GO:0010468; GO:0010629; GO:0010837; GO:0016020; GO:0030216; GO:0030857; GO:0030903; GO:0032570; GO:0033148; GO:0033613; GO:0035019; GO:0035329; GO:0042127; GO:0044212; GO:0045893; GO:0045944; GO:0046622; GO:0046982; GO:0048339; GO:0048368; GO:0050679; GO:0050767; GO:0050847; GO:0060045; GO:0060242; GO:0060449; GO:0060487; GO:0060828; GO:0061026; GO:0065003; GO:0070064; GO:0071148; GO:0071149; GO:0071300; GO:0071480; GO:0072091; GO:0072307; GO:0090263; GO:1902459; GO:1904036; GO:2000737; GO:2001237","K16687;","rno:363014;"
"38",6,7,16,14,12,6,0,13,19,0,0,13,15,7,12,0,13,13,"g39753","Q14CM0",2.2e-18,"FRPD4_HUMAN","reviewed","FERM and PDZ domain-containing protein 4 (PDZ domain-containing protein 10) (PSD-95-interacting regulator of spine morphogenesis) (Preso)","FRMPD4 KIAA0316 PDZD10 PDZK10","Homo sapiens (Human)",1322,"positive regulation of synapse structural plasticity [GO:0051835]; postsynaptic actin cytoskeleton organization [GO:0098974]","cell junction [GO:0030054]; cytoskeleton [GO:0005856]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; postsynaptic density [GO:0014069]; protein-containing complex [GO:0032991]","cell junction [GO:0030054]; cytoskeleton [GO:0005856]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; postsynaptic density [GO:0014069]; protein-containing complex [GO:0032991]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; positive regulation of synapse structural plasticity [GO:0051835]; postsynaptic actin cytoskeleton organization [GO:0098974]","phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]","GO:0005546; GO:0005856; GO:0014069; GO:0030054; GO:0032991; GO:0043197; GO:0051835; GO:0098974; GO:0098978","","hsa:9758;"
